rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemalgol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse
30,1012B30,소양강댐3,강원도 양구군 남면 석현리 양구선착장앞,한국수자원공사,2020,1,13,20,127,57,46,38,2,5,2020.01.07,,,8.7,7,10.3,1.5,2.3,4.3,32,1.884,0.009,,,,,,,,,,,,,1.6,,,,,0,,82,,,1.2,0.08,1,0.005,1.687,0.008,,,,,,,,,1.6,,,,,,,,
457,1010A10,양구서천,강원도 양구군 양구읍 정림리 정림교,원주지방환경청,2020,1,1회차,,127,59,4,38,6,5,2020.01.15,,,4.6,7.6,13.8,0.5,1.8,0.5,2240,3.41,0.022,,,,,,,,,,,,,0.5,,,,,0,,182,,,2.409,0.076,240,0.016,2.885,0.018,,,,,,,,,1.4,,,,,,,,
663,1009B20,평화의댐1,강원도 양구군 방산면 천미리 댐앞,한국수자원공사,2020,1,15,0.5,127,50,15,38,12,49,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,1012B30,소양강댐3,강원도 양구군 남면 석현리 양구선착장앞,한국수자원공사,2020,1,15,40,127,57,46,38,2,5,2020.01.07,,,8,7.1,10.3,1.4,2.1,2.7,27,1.9,0.006,,,,,,,,,,,,,2,,,,,0,,83,,,1.2,0.09,1,0.005,1.74,0.006,,,,,,,,,1.6,,,,,,,,
30,1012B30,소양강댐3,강원도 양구군 남면 석현리 양구선착장앞,한국수자원공사,2020,1,13,20,127,57,46,38,2,5,2020.01.07,,,8.7,7,10.3,1.5,2.3,4.3,32,1.884,0.009,,,,,,,,,,,,,1.6,,,,,0,,82,,,1.2,0.08,1,0.005,1.687,0.008,,,,,,,,,1.6,,,,,,,,
457,1010A10,양구서천,강원도 양구군 양구읍 정림리 정림교,원주지방환경청,2020,1,1회차,,127,59,4,38,6,5,2020.01.15,,,4.6,7.6,13.8,0.5,1.8,0.5,2240,3.41,0.022,,,,,,,,,,,,,0.5,,,,,0,,182,,,2.409,0.076,240,0.016,2.885,0.018,,,,,,,,,1.4,,,,,,,,
663,1009B20,평화의댐1,강원도 양구군 방산면 천미리 댐앞,한국수자원공사,2020,1,15,0.5,127,50,15,38,12,49,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,1012B30,소양강댐3,강원도 양구군 남면 석현리 양구선착장앞,한국수자원공사,2020,1,15,40,127,57,46,38,2,5,2020.01.07,,,8,7.1,10.3,1.4,2.1,2.7,27,1.9,0.006,,,,,,,,,,,,,2,,,,,0,,83,,,1.2,0.09,1,0.005,1.74,0.006,,,,,,,,,1.6,,,,,,,,
30,1012B30,소양강댐3,강원도 양구군 남면 석현리 양구선착장앞,한국수자원공사,2020,1,13,20,127,57,46,38,2,5,2020.01.07,,,8.7,7,10.3,1.5,2.3,4.3,32,1.884,0.009,,,,,,,,,,,,,1.6,,,,,0,,82,,,1.2,0.08,1,0.005,1.687,0.008,,,,,,,,,1.6,,,,,,,,
457,1010A10,양구서천,강원도 양구군 양구읍 정림리 정림교,원주지방환경청,2020,1,1회차,,127,59,4,38,6,5,2020.01.15,,,4.6,7.6,13.8,0.5,1.8,0.5,2240,3.41,0.022,,,,,,,,,,,,,0.5,,,,,0,,182,,,2.409,0.076,240,0.016,2.885,0.018,,,,,,,,,1.4,,,,,,,,
663,1009B20,평화의댐1,강원도 양구군 방산면 천미리 댐앞,한국수자원공사,2020,1,15,0.5,127,50,15,38,12,49,2020.01.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,1012B30,소양강댐3,강원도 양구군 남면 석현리 양구선착장앞,한국수자원공사,2020,1,15,40,127,57,46,38,2,5,2020.01.07,,,8,7.1,10.3,1.4,2.1,2.7,27,1.9,0.006,,,,,,,,,,,,,2,,,,,0,,83,,,1.2,0.09,1,0.005,1.74,0.006,,,,,,,,,1.6,,,,,,,,
