X,name,search,WQG,BusToStation,TimeByPublic,TransTime,n,mean_rank,p_count,cafe_count,cafe_count.5km.,g_count
괴산,화양구곡,3.82,1.7,19,91,0,62,2.63,31,5,0,320
괴산,갈론계곡,2.17,2,13,148,0,46,15.04,8,11,6,50
괴산,괴산선유동계곡,2.31,-2,21,75,0,14,21.5,21,1,0,80
괴산,쌍곡구곡,0.06,2,16,64,0,62,6.03,19,4,1,8
영월,김삿갓계곡,10.39,6,20,72,0,55,18.45,20,0,2,71
영월,어라연계곡,0.88,-2,12,40,0,0,0,3,0,2,80
영월,이끼계곡,2.44,4,18,76,0,1,27,0,0,1,91
영월,연하계곡,1.12,-1,10,41,0,27,17.19,2,0,1,59
영월,법흥계곡,0.39,-1,24,96,0,14,18.71,24,0,4,62
영월,엄둔계곡,65.74,-4.6,24,156,0,5,24,19,0,3,61
영월,내리계곡,4.37,6,28,111,0,0,0,9,2,1,19
양구,천미계곡,5.8,2,33,128,0,60,5.13,0,0,0,26
양구,광치계곡,0.38,2,5.5,58,0,0,0,4,0,2,12
양구,두타연계곡,0.61,2,16.3,86,0,60,13.9,6,0,0,432
양구,비수구미,6.19,2,26.4,112,0,0,0,2,6,1,134
양구,남전계곡,0.3,2,11,97,0,0,0,4,0,3,15
인제,아침가리계곡,9.69,-2.5,11.3,51,1,62,10.39,13,0,2,271
인제,내린천,3.69,3.6,4.7,15,0,2,30,40,12,23,117
인제,백담계곡,13.97,1.5,2.5,3,NA,62,6.95,6,5,8,160
인제,십이선녀탕,1.7,1.5,3.7,23,NA,58,20.69,4,4,5,117
인제,진동계곡,1.78,-2.5,10.4,51,0,0,0,13,0,2,52
인제,미산계곡,1.64,-2.4,6.2,50,0,0,0,20,8,1,65
인제,하추리계곡,0.47,3.7,13.2,48,0,0,0,13,4,1,8
인제,가야동계곡,0.1,1.5,9.5,NA,NA,0,0,0,0,0,21
인제,구만동계곡,0.41,1.5,1.2,9,NA,0,0,12,5,7,7
인제,수렴동계곡,0,1.5,3.9,20,NA,0,0,0,0,5,36
인제,방동계곡,0.23,-2.5,2.7,24,0,0,0,3,10,NA,5
인제,내심적계곡,0.05,-1.5,2.1,15,NA,0,0,1,3,NA,1
인제,옥녀탕계곡,0.01,1.5,11.3,54,0,0,0,4,0,NA,3
인제,추대계곡,0,-2.5,9.3,70,0,0,0,18,0,NA,2
인제,대승폭포계곡,0.54,1.5,13.6,89,0,0,0,1,4,NA,69
